_id,org_id,device_id,device_name,serial_number,device_category,created_at,last_updated,warranty_id,warranty_number,warranty_type,warranty_start,warranty_end,_class,deleted,_op,_collection,_source_ts_ms,_db,_nilus_load_id,_nilus_id,warranty_name,warranty_category,warranty_delivery_type,warranty_description,warranty_duration,warranty_service_profile,warranty_response_profile
warr_010,org_123,dev_010,Device_10,SN000010,Hardware,1768222057979,1768222057979,wid_010,WNUM000010,Standard,1768222057979,1799758057979,warranty,False,c,warranties,1768222057979,inventory,load_10,8ffc71d0-c72f-42ca-a6e8-ab7ac1d3420d,Standard Coverage,Manufacturer,Onsite,Standard manufacturer warranty,365,Next Business Day,8x5
warr_011,org_123,dev_011,Device_11,SN000011,Hardware,1768222057979,1768222057979,wid_011,WNUM000011,Standard,1768222057979,1799758057979,warranty,False,c,warranties,1768222057979,inventory,load_11,a4c1f6c0-76b0-4318-a923-bdf0db9373b1,Standard Coverage,Manufacturer,Onsite,Standard manufacturer warranty,365,Next Business Day,8x5
warr_012,org_123,dev_012,Device_12,SN000012,Hardware,1768222057979,1768222057979,wid_012,WNUM000012,Standard,1768222057979,1799758057979,warranty,False,c,warranties,1768222057979,inventory,load_12,5194b20e-6952-492f-a4dc-8dd95d7538ef,Standard Coverage,Manufacturer,Onsite,Standard manufacturer warranty,365,Next Business Day,8x5
warr_013,org_123,dev_013,Device_13,SN000013,Hardware,1768222057979,1768222057979,wid_013,WNUM000013,Standard,1768222057979,1799758057979,warranty,False,c,warranties,1768222057979,inventory,load_13,e5eaa398-91b4-431f-b874-1dcbe5377c98,Standard Coverage,Manufacturer,Onsite,Standard manufacturer warranty,365,Next Business Day,8x5
warr_014,org_123,dev_014,Device_14,SN000014,Hardware,1768222057979,1768222057979,wid_014,WNUM000014,Standard,1768222057979,1799758057979,warranty,False,c,warranties,1768222057979,inventory,load_14,9c2b8d9c-b8de-4d6e-b173-6106679007c5,Standard Coverage,Manufacturer,Onsite,Standard manufacturer warranty,365,Next Business Day,8x5
warr_015,org_123,dev_015,Device_15,SN000015,Hardware,1768222057979,1768222057979,wid_015,WNUM000015,Standard,1768222057979,1799758057979,warranty,False,c,warranties,1768222057979,inventory,load_15,116ac5f3-6299-4390-9c77-8ac61f824ddb,Standard Coverage,Manufacturer,Onsite,Standard manufacturer warranty,365,Next Business Day,8x5
warr_016,org_123,dev_016,Device_16,SN000016,Hardware,1768222057979,1768222057979,wid_016,WNUM000016,Standard,1768222057979,1799758057979,warranty,False,c,warranties,1768222057979,inventory,load_16,7b2f2ad1-c7d3-4cc7-a4b0-3be6c32dd0d9,Standard Coverage,Manufacturer,Onsite,Standard manufacturer warranty,365,Next Business Day,8x5
warr_017,org_123,dev_017,Device_17,SN000017,Hardware,1768222057979,1768222057979,wid_017,WNUM000017,Standard,1768222057979,1799758057979,warranty,False,c,warranties,1768222057979,inventory,load_17,512d22a7-ba41-4303-a6c5-7d0d8512896e,Standard Coverage,Manufacturer,Onsite,Standard manufacturer warranty,365,Next Business Day,8x5
warr_018,org_123,dev_018,Device_18,SN000018,Hardware,1768222057979,1768222057979,wid_018,WNUM000018,Standard,1768222057979,1799758057979,warranty,False,c,warranties,1768222057979,inventory,load_18,ba0daca0-07d8-4235-aea9-03bae278bcce,Standard Coverage,Manufacturer,Onsite,Standard manufacturer warranty,365,Next Business Day,8x5
warr_019,org_123,dev_019,Device_19,SN000019,Hardware,1768222057979,1768222057979,wid_019,WNUM000019,Standard,1768222057979,1799758057979,warranty,False,c,warranties,1768222057979,inventory,load_19,b79a3da4-e6dd-4dc6-bfd4-dfe0541b9f70,Standard Coverage,Manufacturer,Onsite,Standard manufacturer warranty,365,Next Business Day,8x5
