_id,org_id,package_id,coreq_package_id,package_name,package_description,package_version,current_installed_version,package_release_date,package_vendor,package_type,package_severity,package_reboot_type,package_size,disk_space_required,package_tips,readme_url,license_url,created_at,last_modified_date,_class,test_state,test_state_last_changed_by_user_at,category,created_at__v_text,last_modified_date__v_text,groups,test_ring_set_id
sysupd2_010,org_123,pkg_010,coreq_010,System Update 10,Next generation system update,2.10.0,2.9.0,1767271998671,VendorCorp,OS,Critical,Required,250000,480000,Schedule during maintenance window,https://example.com/readme,https://example.com/license,1768222398671,1768222398671,system_update_v2,in_progress,1768222398671,Security,2026-01-12T12:53:18.671043+00:00,2026-01-12T12:53:18.671043+00:00,All Devices,ring_010
sysupd2_011,org_123,pkg_011,coreq_011,System Update 11,Next generation system update,2.11.0,2.10.0,1767185598671,VendorCorp,OS,Moderate,Required,255000,488000,Schedule during maintenance window,https://example.com/readme,https://example.com/license,1768222398671,1768222398671,system_update_v2,in_progress,1768222398671,Security,2026-01-12T12:53:18.671043+00:00,2026-01-12T12:53:18.671043+00:00,All Devices,ring_011
sysupd2_012,org_123,pkg_012,coreq_012,System Update 12,Next generation system update,2.12.0,2.11.0,1767099198671,VendorCorp,OS,Critical,Required,260000,496000,Schedule during maintenance window,https://example.com/readme,https://example.com/license,1768222398671,1768222398671,system_update_v2,completed,1768222398671,Security,2026-01-12T12:53:18.671043+00:00,2026-01-12T12:53:18.671043+00:00,All Devices,ring_012
sysupd2_013,org_123,pkg_013,coreq_013,System Update 13,Next generation system update,2.13.0,2.12.0,1767012798671,VendorCorp,OS,Moderate,Required,265000,504000,Schedule during maintenance window,https://example.com/readme,https://example.com/license,1768222398671,1768222398671,system_update_v2,in_progress,1768222398671,Security,2026-01-12T12:53:18.671043+00:00,2026-01-12T12:53:18.671043+00:00,All Devices,ring_013
sysupd2_014,org_123,pkg_014,coreq_014,System Update 14,Next generation system update,2.14.0,2.13.0,1766926398671,VendorCorp,OS,Critical,Required,270000,512000,Schedule during maintenance window,https://example.com/readme,https://example.com/license,1768222398671,1768222398671,system_update_v2,in_progress,1768222398671,Security,2026-01-12T12:53:18.671043+00:00,2026-01-12T12:53:18.671043+00:00,All Devices,ring_014
sysupd2_015,org_123,pkg_015,coreq_015,System Update 15,Next generation system update,2.15.0,2.14.0,1766839998671,VendorCorp,OS,Moderate,Required,275000,520000,Schedule during maintenance window,https://example.com/readme,https://example.com/license,1768222398671,1768222398671,system_update_v2,completed,1768222398671,Security,2026-01-12T12:53:18.671043+00:00,2026-01-12T12:53:18.671043+00:00,All Devices,ring_015
sysupd2_016,org_123,pkg_016,coreq_016,System Update 16,Next generation system update,2.16.0,2.15.0,1766753598671,VendorCorp,OS,Critical,Required,280000,528000,Schedule during maintenance window,https://example.com/readme,https://example.com/license,1768222398671,1768222398671,system_update_v2,in_progress,1768222398671,Security,2026-01-12T12:53:18.671043+00:00,2026-01-12T12:53:18.671043+00:00,All Devices,ring_016
sysupd2_017,org_123,pkg_017,coreq_017,System Update 17,Next generation system update,2.17.0,2.16.0,1766667198671,VendorCorp,OS,Moderate,Required,285000,536000,Schedule during maintenance window,https://example.com/readme,https://example.com/license,1768222398671,1768222398671,system_update_v2,in_progress,1768222398671,Security,2026-01-12T12:53:18.671043+00:00,2026-01-12T12:53:18.671043+00:00,All Devices,ring_017
sysupd2_018,org_123,pkg_018,coreq_018,System Update 18,Next generation system update,2.18.0,2.17.0,1766580798671,VendorCorp,OS,Critical,Required,290000,544000,Schedule during maintenance window,https://example.com/readme,https://example.com/license,1768222398671,1768222398671,system_update_v2,completed,1768222398671,Security,2026-01-12T12:53:18.671043+00:00,2026-01-12T12:53:18.671043+00:00,All Devices,ring_018
sysupd2_019,org_123,pkg_019,coreq_019,System Update 19,Next generation system update,2.19.0,2.18.0,1766494398671,VendorCorp,OS,Moderate,Required,295000,552000,Schedule during maintenance window,https://example.com/readme,https://example.com/license,1768222398671,1768222398671,system_update_v2,in_progress,1768222398671,Security,2026-01-12T12:53:18.671043+00:00,2026-01-12T12:53:18.671043+00:00,All Devices,ring_019
