customer_no,site,posting_dt_sk,invoice_no,posting_prd,ext_net,entry_origin,cases
106814,1,20250813,5088,202508,3199.26,G,15
944962,60,20250725,5089,202507,930.88,G,15
391369,1,20251113,5090,202511,1935.76,G,12
325772,20,20251025,5091,202510,3369.0,J,15
900581,1,20250313,5092,202503,3497.84,K,4
948749,170,20250615,5093,202506,2023.13,U,10
877572,1,20260130,5094,202601,2320.89,H,19
334053,170,20251008,5095,202510,2620.84,Z,10
391704,20,20251008,5096,202510,2816.67,G,7
895667,170,20251114,5097,202511,2656.74,F,5
542417,20,20251019,5098,202510,2279.88,H,15
356787,1,20250924,5099,202509,1308.77,G,10
201414,20,20251219,5100,202512,1483.49,G,18
733052,20,20250830,5101,202508,1781.19,H,6
944962,60,20260128,5102,202601,3307.45,Y,10
476417,60,20260117,5103,202601,447.34,Y,5
717889,20,20251113,5104,202511,2548.55,Y,18
733052,20,20250117,5105,202501,2777.85,G,18
329258,170,20250722,5106,202507,1321.62,F,9
377370,170,20260127,5107,202601,2252.99,H,8
172933,60,20241214,5108,202412,2187.44,Y,11
571029,170,20251029,5109,202510,268.1,Z,10
230889,20,20250130,5110,202501,532.23,Y,10
338968,1,20250130,5111,202501,385.31,K,5
145561,20,20250722,5112,202507,1329.99,Y,18
182627,20,20250928,5113,202509,2610.83,G,14
542417,60,20260201,5114,202602,1738.25,H,9
356787,1,20251120,5115,202511,1328.33,H,8
733052,1,20250121,5116,202501,3434.2,H,12
872246,60,20250623,5117,202506,1001.79,Y,15
719176,60,20251106,5118,202511,781.77,J,1
334053,170,20260108,5119,202601,1200.61,Y,19
539898,20,20250106,5120,202501,2912.87,U,19
571029,20,20260122,5121,202601,3050.45,H,5
770487,170,20250422,5122,202504,3011.5,G,5
895667,170,20260114,5123,202601,652.02,J,1
343962,60,20241209,5124,202412,1285.94,Z,19
498382,1,20241210,5125,202412,651.15,G,14
198246,170,20251218,5126,202512,269.28,H,12
133326,170,20250721,5127,202507,1788.24,Y,2
900581,1,20250724,5128,202507,2269.53,G,16
581741,60,20250708,5129,202507,2417.04,B,15
809570,20,20250112,5130,202501,1161.29,G,5
543143,170,20251017,5131,202510,2234.11,U,11
377370,170,20251003,5132,202510,1880.42,H,20
407419,60,20250121,5133,202501,2786.18,G,18
571029,20,20250710,5134,202507,1607.86,G,11
838797,1,20250624,5135,202506,1485.16,G,14
207175,1,20251107,5136,202511,929.37,Y,16
207473,170,20250117,5137,202501,2919.61,G,4
377370,20,20260121,5138,202601,498.9,G,18
201414,170,20251110,5139,202511,471.7,H,14
246316,20,20250428,5140,202504,2121.41,H,19
403445,60,20250320,5141,202503,583.82,B,4
988662,170,20250912,5142,202509,1318.09,F,19
717889,20,20260119,5143,202601,1530.44,U,20
388389,1,20251009,5144,202510,3255.34,Z,9
388389,170,20250304,5145,202503,992.78,F,11
988662,170,20241205,5146,202412,675.85,G,13
207473,170,20250212,5147,202502,2606.34,Y,3
571029,20,20250612,5148,202506,1498.42,H,12
452944,60,20251206,5149,202512,1169.12,Y,20
671858,170,20241228,5150,202412,586.75,F,2
671858,1,20250420,5151,202504,1578.74,H,20
759176,20,20250702,5152,202507,992.43,F,4
988662,1,20250710,5153,202507,432.57,J,19
793384,1,20250828,5154,202508,2351.61,G,13
246316,170,20241205,5155,202412,755.26,Y,5
944962,60,20250429,5156,202504,1182.02,G,14
850800,20,20250206,5157,202502,1361.72,F,17
460663,60,20250107,5158,202501,1419.9,F,14
126225,170,20250725,5159,202507,3228.01,K,19
182627,170,20250921,5160,202509,1445.26,J,10
198246,170,20250627,5161,202506,121.96,H,20
838797,60,20260131,5162,202601,2429.15,H,14
133326,170,20250405,5163,202504,1553.08,H,3
865179,60,20250509,5164,202505,2623.03,G,6
876646,60,20250820,5165,202508,2234.63,B,7
988662,170,20250530,5166,202505,2559.46,Z,5
948749,170,20250123,5167,202501,555.23,G,20
127824,20,20251226,5168,202512,2669.08,G,16
172933,1,20251223,5169,202512,1994.89,U,19
498382,1,20251019,5170,202510,1140.68,H,16
759176,20,20251021,5171,202510,1094.73,H,2
460663,60,20250818,5172,202508,305.96,B,2
246316,170,20250608,5173,202506,2919.35,G,3
403445,60,20250616,5174,202506,1646.36,U,2
301629,60,20260120,5175,202601,2022.22,G,20
172933,170,20250815,5176,202508,570.47,G,4
476417,170,20251202,5177,202512,340.94,J,2
895667,20,20251129,5178,202511,1560.27,H,17
127824,170,20250606,5179,202506,1336.34,H,14
476417,60,20251114,5180,202511,2112.71,Z,11
207473,20,20250519,5181,202505,376.05,J,10
895667,170,20251207,5182,202512,2987.9,Y,20
731262,170,20250521,5183,202505,331.18,J,12
452944,60,20251102,5184,202511,2459.76,H,20
671858,170,20250509,5185,202505,1978.28,J,11
343962,20,20251110,5186,202511,2474.77,Y,17
719176,60,20251028,5187,202510,2363.07,B,1
733052,1,20250509,5188,202505,671.91,G,16
671412,20,20250327,5189,202503,3499.92,G,10
542417,60,20250818,5190,202508,2709.52,Z,17
356787,20,20251105,5191,202511,1211.84,F,5
377370,60,20250218,5192,202502,609.75,Z,20
308496,170,20251206,5193,202512,1559.97,H,8
759176,20,20251010,5194,202510,1033.0,F,15
948749,60,20250901,5195,202509,875.13,Y,16
671412,20,20250608,5196,202506,2390.16,U,15
172933,1,20251230,5197,202512,1022.11,H,17
182627,20,20250222,5198,202502,2868.27,Z,5
895667,170,20241228,5199,202412,2262.07,K,18
542417,170,20251201,5200,202512,2968.33,K,10
671858,170,20251227,5201,202512,603.08,H,17
629903,170,20260131,5202,202601,1559.28,Y,8
301629,60,20250529,5203,202505,3260.13,H,13
403445,20,20250611,5204,202506,863.43,Y,12
717889,20,20241216,5205,202412,1149.46,G,11
629903,170,20250210,5206,202502,182.15,K,16
629903,20,20251225,5207,202512,2484.1,H,1
671858,1,20241211,5208,202412,932.94,Z,18
182627,60,20250127,5209,202501,2727.8,H,4
334053,170,20250403,5210,202504,1498.4,Z,15
207473,20,20250127,5211,202501,2936.57,B,18
126225,170,20251021,5212,202510,1828.05,H,5
391369,170,20250709,5213,202507,55.4,H,19
496922,170,20250307,5214,202503,2342.08,G,12
207473,170,20250828,5215,202508,1927.08,Z,17
877572,1,20250619,5216,202506,3062.99,G,13
377370,20,20250410,5217,202504,2628.24,H,3
988662,1,20250404,5218,202504,2578.65,J,19
476417,20,20250208,5219,202502,202.96,U,6
172933,1,20251123,5220,202511,1700.93,G,5
207473,20,20251203,5221,202512,2727.86,H,10
539898,1,20241224,5222,202412,2779.33,K,11
452944,60,20250822,5223,202508,1423.87,Z,16
895667,170,20241220,5224,202412,2648.85,G,12
334053,170,20251102,5225,202511,1195.14,G,12
407419,170,20250624,5226,202506,2614.41,K,13
476417,60,20250307,5227,202503,1761.9,B,17
832052,60,20260116,5228,202601,335.01,H,14
781453,1,20250907,5229,202509,1063.49,G,11
263032,60,20250507,5230,202505,1588.41,F,6
759176,20,20250530,5231,202505,1592.6,F,12
407419,170,20250421,5232,202504,2256.17,Z,2
876646,60,20251110,5233,202511,2249.42,H,6
388389,170,20250213,5234,202502,2977.91,J,15
356787,1,20250204,5235,202502,281.96,Z,12
733052,1,20250616,5236,202506,3325.66,G,5
301629,60,20250609,5237,202506,1333.45,F,19
629903,20,20250830,5238,202508,1315.98,H,9
895667,20,20250129,5239,202501,139.4,G,17
145561,20,20250915,5240,202509,456.28,Z,15
331148,60,20251011,5241,202510,1035.24,K,16
539898,1,20250202,5242,202502,518.26,G,6
759176,20,20250115,5243,202501,2846.27,Y,11
988662,1,20251130,5244,202511,274.04,U,10
127824,170,20251201,5245,202512,2498.0,F,6
733052,1,20250819,5246,202508,823.63,Y,5
948749,170,20260110,5247,202601,1754.38,H,19
733052,60,20250729,5248,202507,2822.63,U,20
719176,1,20250104,5249,202501,1117.05,Y,16
496922,60,20251230,5250,202512,1462.55,U,5
197251,1,20251026,5251,202510,305.87,B,17
988662,1,20250205,5252,202502,3078.96,Z,19
781453,1,20251230,5253,202512,3383.61,H,2
329258,170,20250824,5254,202508,577.9,G,11
717889,20,20250528,5255,202505,3318.82,B,10
671858,1,20250409,5256,202504,727.24,Y,9
343962,20,20251018,5257,202510,1094.74,B,17
850800,1,20251001,5258,202510,3298.54,G,20
476417,60,20250916,5259,202509,192.12,K,3
356787,170,20251026,5260,202510,2710.03,H,7
496922,170,20251014,5261,202510,2254.52,B,18
391369,170,20251026,5262,202510,3350.44,B,13
325772,20,20250722,5263,202507,301.76,G,15
496922,170,20250806,5264,202508,1652.33,H,5
207175,1,20251204,5265,202512,1151.64,Y,12
581741,60,20250206,5266,202502,2674.29,B,4
197251,1,20250404,5267,202504,1659.33,H,8
629903,60,20250120,5268,202501,224.59,Y,20
182627,20,20250408,5269,202504,3371.27,K,11
207175,1,20250309,5270,202503,2682.77,B,17
172933,20,20250814,5271,202508,3082.81,B,3
865179,1,20250817,5272,202508,1627.45,H,19
460663,60,20241226,5273,202412,224.36,B,16
391369,1,20250902,5274,202509,78.21,G,5
832052,20,20251209,5275,202512,1311.93,H,2
581741,60,20241228,5276,202412,2017.47,G,18
391369,1,20250108,5277,202501,1382.9,H,18
456778,20,20260128,5278,202601,3462.36,J,4
343962,20,20250120,5279,202501,1408.97,Z,11
733052,20,20251223,5280,202512,547.72,U,13
403445,20,20241222,5281,202412,206.3,G,11
172933,170,20250824,5282,202508,1626.61,U,17
629903,20,20250518,5283,202505,3263.22,H,13
325772,20,20251001,5284,202510,1210.49,Z,18
793384,20,20251129,5285,202511,1992.09,B,1
733052,60,20250520,5286,202505,2374.63,Y,19
900581,20,20260113,5287,202601,3150.75,K,1
172933,170,20250416,5288,202504,3386.39,Z,19
391704,20,20251206,5289,202512,227.18,B,17
377370,170,20250215,5290,202502,2884.73,H,19
131244,20,20250309,5291,202503,115.33,H,5
496922,60,20251120,5292,202511,753.43,B,20
172933,60,20251213,5293,202512,2559.54,F,17
539898,60,20250915,5294,202509,1171.42,J,17
377370,60,20250511,5295,202505,3350.56,H,18
476417,170,20250907,5296,202509,1272.29,Z,9
148050,60,20250310,5297,202503,3352.81,H,10
717889,20,20250503,5298,202505,2710.55,F,16
197251,1,20250804,5299,202508,1253.37,Y,9
391369,1,20250202,5300,202502,2028.49,U,13
988662,1,20260101,5301,202601,2825.92,H,10
671858,1,20250528,5302,202505,3237.83,J,16
331148,60,20250315,5303,202503,2906.43,H,18
543143,1,20250210,5304,202502,426.83,F,8
895667,1,20241227,5305,202412,2360.93,B,8
246316,20,20250122,5306,202501,1475.89,F,4
629903,20,20241204,5307,202412,3377.59,Y,6
230889,20,20251101,5308,202511,3275.86,K,16
539898,1,20251224,5309,202512,3375.5,H,2
719176,1,20251031,5310,202510,2030.76,B,2
850800,20,20250703,5311,202507,3093.75,G,2
865179,60,20260109,5312,202601,1759.07,Y,10
356787,20,20241206,5313,202412,1079.45,U,11
456778,60,20250722,5314,202507,3462.39,U,16
343962,170,20250817,5315,202508,1664.67,G,4
201414,170,20250223,5316,202502,2572.36,J,6
126225,20,20251214,5317,202512,1213.04,H,7
850800,20,20251010,5318,202510,3003.71,K,14
201414,20,20250115,5319,202501,1432.87,G,5
148050,20,20250516,5320,202505,3278.6,G,13
948749,170,20250718,5321,202507,2650.46,Y,10
216739,60,20250414,5322,202504,2305.21,F,2
329258,60,20250728,5323,202507,1108.48,H,17
452944,60,20251120,5324,202511,455.08,K,10
733052,60,20251012,5325,202510,811.93,Y,16
127824,20,20250722,5326,202507,2629.69,U,14
172933,60,20251224,5327,202512,1904.44,J,7
895667,20,20251115,5328,202511,2653.85,K,3
759176,170,20250829,5329,202508,2477.99,G,19
131244,20,20250102,5330,202501,2909.27,K,7
731262,170,20250224,5331,202502,1182.01,B,4
539898,20,20251204,5332,202512,2061.86,G,17
759176,170,20260120,5333,202601,241.94,G,14
838797,1,20250916,5334,202509,249.19,B,10
877572,1,20250622,5335,202506,927.88,G,7
809570,20,20241225,5336,202412,1511.76,F,18
872246,60,20250106,5337,202501,3452.17,B,10
230889,20,20250304,5338,202503,2702.95,F,14
377370,20,20250615,5339,202506,1597.45,K,13
377370,60,20250112,5340,202501,2405.42,J,18
343962,170,20251101,5341,202511,3017.99,G,18
865179,1,20250829,5342,202508,489.35,Y,1
877572,1,20250503,5343,202505,1647.36,F,14
377370,170,20260127,5344,202601,842.34,H,5
543143,170,20250308,5345,202503,3284.07,F,4
356787,1,20260120,5346,202601,2327.68,U,1
106814,1,20250317,5347,202503,282.15,U,15
334053,170,20250406,5348,202504,2604.87,H,8
571029,20,20251223,5349,202512,3029.87,G,17
391369,170,20250331,5350,202503,2864.46,F,11
498382,1,20250402,5351,202504,1091.09,G,17
571029,170,20250701,5352,202507,1086.73,G,19
850800,20,20251018,5353,202510,2391.69,U,2
988662,1,20251027,5354,202510,2366.13,Z,11
496922,170,20250629,5355,202506,564.8,H,18
172933,170,20250404,5356,202504,2980.23,H,5
172933,1,20241231,5357,202412,1990.23,Y,18
343962,170,20250618,5358,202506,887.86,G,3
301629,60,20250609,5359,202506,369.0,F,7
246316,20,20250418,5360,202504,1351.23,U,2
809570,20,20250308,5361,202503,2826.04,U,18
571029,20,20250804,5362,202508,770.67,K,10
126225,20,20250320,5363,202503,3283.2,Y,4
148050,20,20250405,5364,202504,2449.91,F,13
106814,1,20250910,5365,202509,1159.57,H,15
460663,170,20250508,5366,202505,952.39,B,16
172933,20,20250121,5367,202501,2819.72,F,11
539898,20,20250609,5368,202506,1129.58,G,8
629903,170,20241210,5369,202412,949.67,Y,19
496922,170,20250502,5370,202505,575.82,H,13
895667,1,20250814,5371,202508,1949.72,Y,11
944962,60,20251227,5372,202512,2884.49,Y,16
838797,60,20250226,5373,202502,2578.06,H,5
793384,20,20250306,5374,202503,3213.3,U,2
356787,1,20260204,5375,202602,2971.11,Y,2
216739,20,20250701,5376,202507,524.35,J,3
731262,170,20241206,5377,202412,804.58,H,2
148050,60,20251104,5378,202511,1733.1,G,18
496922,60,20241208,5379,202412,107.71,F,18
391369,1,20241210,5380,202412,1782.65,F,14
850800,60,20250125,5381,202501,3217.27,B,8
671412,20,20251015,5382,202510,1866.27,Z,9
865179,60,20250111,5383,202501,1337.03,H,19
895667,1,20251123,5384,202511,829.21,J,3
356787,1,20250118,5385,202501,1448.21,H,16
246316,170,20251024,5386,202510,82.6,G,16
407419,170,20251028,5387,202510,2756.1,U,4
356787,60,20250329,5388,202503,779.39,K,19
172933,170,20250419,5389,202504,210.64,G,9
356787,1,20250303,5390,202503,3254.24,H,7
629903,60,20251222,5391,202512,2881.38,Z,3
325772,20,20250223,5392,202502,1995.66,U,13
201414,170,20250616,5393,202506,2656.85,G,3
403445,20,20251218,5394,202512,3411.42,G,14
948749,60,20260204,5395,202602,312.26,U,20
865179,60,20260102,5396,202601,1176.0,J,15
793384,20,20250328,5397,202503,1277.55,Y,14
781453,20,20251115,5398,202511,2071.27,H,20
263032,60,20260114,5399,202601,900.25,G,9
127824,20,20250614,5400,202506,2505.29,J,13
197251,1,20250604,5401,202506,417.6,G,10
759176,20,20250604,5402,202506,2676.65,G,3
781453,20,20250710,5403,202507,1598.51,U,14
542417,170,20241215,5404,202412,359.19,U,20
201414,20,20250617,5405,202506,92.58,H,3
895667,1,20250920,5406,202509,1847.81,J,6
629903,20,20250418,5407,202504,1088.9,B,3
308496,170,20250712,5408,202507,1002.07,H,3
733052,1,20250409,5409,202504,3307.57,F,16
671412,170,20250724,5410,202507,419.05,H,13
476417,20,20260205,5411,202602,2189.66,Z,11
759176,1,20250522,5412,202505,1535.63,Z,20
343962,170,20250504,5413,202505,1156.29,Y,7
148050,20,20250511,5414,202505,662.85,H,11
391369,170,20251213,5415,202512,2447.6,B,19
895667,1,20250517,5416,202505,1347.39,Z,13
733052,20,20250129,5417,202501,3265.63,G,18
781453,1,20251116,5418,202511,2698.28,G,15
539898,60,20250714,5419,202507,2802.02,Z,3
230889,20,20251111,5420,202511,1772.6,J,8
895667,170,20251104,5421,202511,581.79,H,13
809570,20,20250719,5422,202507,3467.92,B,13
403445,60,20251121,5423,202511,1493.14,G,12
671858,170,20250126,5424,202501,2702.89,J,12
308496,170,20251029,5425,202510,2163.74,U,13
201414,170,20260113,5426,202601,1535.07,G,9
571029,170,20250820,5427,202508,2626.64,U,19
571029,170,20250718,5428,202507,1340.71,B,19
403445,20,20250217,5429,202502,1240.14,G,4
263032,60,20250702,5430,202507,3225.89,G,5
988662,170,20250510,5431,202505,1233.58,Z,17
148050,60,20250529,5432,202505,1692.76,H,15
197251,1,20250105,5433,202501,1085.91,Z,4
877572,1,20250526,5434,202505,2285.5,J,6
895667,1,20250823,5435,202508,651.86,G,18
182627,170,20250726,5436,202507,849.9,H,6
781453,20,20251025,5437,202510,2317.71,H,20
671412,170,20250720,5438,202507,2093.1,H,7
539898,20,20250423,5439,202504,2645.52,Z,3
542417,170,20260115,5440,202601,3058.33,G,11
671412,170,20250724,5441,202507,443.14,J,16
207175,1,20251003,5442,202510,1390.81,H,4
988662,170,20250531,5443,202505,2967.04,J,10
671858,170,20251111,5444,202511,512.12,G,10
198246,170,20250305,5445,202503,1337.91,G,13
182627,20,20251003,5446,202510,525.64,H,6
793384,1,20251023,5447,202510,1903.96,K,6
308496,170,20250809,5448,202508,1046.48,G,15
246316,20,20250603,5449,202506,3333.85,B,7
946335,1,20250915,5450,202509,1793.76,B,16
496922,170,20251130,5451,202511,2947.63,B,3
388389,170,20260113,5452,202601,2675.65,H,9
717889,20,20250903,5453,202509,1045.91,Z,19
338968,1,20250909,5454,202509,1812.28,U,9
733052,20,20250905,5455,202509,2888.01,G,15
571029,20,20250707,5456,202507,403.34,Z,8
325772,20,20241218,5457,202412,1601.58,H,3
759176,1,20250131,5458,202501,2725.93,H,19
988662,170,20251130,5459,202511,2155.4,H,20
629903,20,20260107,5460,202601,762.84,G,2
988662,170,20250831,5461,202508,1019.74,U,11
391369,170,20250429,5462,202504,2025.94,Y,17
542417,20,20250209,5463,202502,3371.56,Z,2
543143,170,20251102,5464,202511,487.76,K,8
629903,170,20251201,5465,202512,1161.23,H,13
793384,20,20250212,5466,202502,2042.12,H,14
377370,60,20250721,5467,202507,310.53,Z,3
581741,170,20250822,5468,202508,2636.82,F,12
838797,1,20250808,5469,202508,1179.15,G,3
838797,60,20251023,5470,202510,2341.3,H,3
865179,60,20250323,5471,202503,3390.04,Z,16
832052,60,20250516,5472,202505,2907.79,H,19
343962,60,20250917,5473,202509,2990.86,Z,2
356787,170,20250121,5474,202501,2210.32,Z,1
329258,170,20250220,5475,202502,1572.44,G,14
539898,1,20251119,5476,202511,3187.45,K,10
127824,170,20250421,5477,202504,372.02,H,3
377370,20,20251107,5478,202511,3168.11,G,13
900581,20,20251208,5479,202512,2463.07,H,3
542417,20,20241202,5480,202412,786.3,G,19
717889,20,20250824,5481,202508,2395.94,G,11
329258,60,20250706,5482,202507,2444.41,B,8
946335,1,20250116,5483,202501,2571.13,G,11
733052,60,20250504,5484,202505,523.1,Z,5
629903,60,20250106,5485,202501,1880.25,G,6
759176,1,20250530,5486,202505,2542.39,J,5
496922,60,20251013,5487,202510,2418.65,K,3
542417,60,20250211,5488,202502,2645.94,U,13
988662,170,20250709,5489,202507,1135.04,G,9
671858,170,20250408,5490,202504,1959.22,U,20
456778,60,20260104,5491,202601,3297.41,G,10
539898,20,20250824,5492,202508,2143.9,G,13
263032,60,20251028,5493,202510,238.26,K,8
338968,1,20250617,5494,202506,438.97,B,20
809570,20,20250829,5495,202508,3116.1,G,12
197251,1,20250207,5496,202502,1384.59,Z,14
733052,20,20250907,5497,202509,2406.15,F,3
126225,170,20250928,5498,202509,282.99,H,2
872246,60,20260110,5499,202601,1423.01,H,17
496922,170,20250706,5500,202507,2471.25,G,18
127824,20,20250423,5501,202504,338.41,G,7
127824,20,20250902,5502,202509,1177.29,U,3
452944,60,20251124,5503,202511,1559.33,Y,8
246316,170,20250406,5504,202504,347.43,H,15
246316,170,20250509,5505,202505,2347.97,J,6
329258,60,20241208,5506,202412,2492.26,F,6
338968,60,20250528,5507,202505,1854.37,Z,9
308496,170,20250610,5508,202506,487.91,Z,9
329258,60,20251231,5509,202512,3154.65,H,14
543143,1,20250827,5510,202508,270.36,F,19
876646,60,20250813,5511,202508,1620.43,H,16
308496,170,20250608,5512,202506,592.72,Z,19
198246,170,20250328,5513,202503,2605.69,G,1
895667,1,20241225,5514,202412,1677.59,H,5
850800,60,20241220,5515,202412,1957.38,K,14
717889,20,20250515,5516,202505,906.51,K,11
543143,1,20260128,5517,202601,318.71,H,17
246316,20,20250303,5518,202503,819.99,B,2
581741,60,20250106,5519,202501,3075.62,K,10
201414,20,20250115,5520,202501,1958.17,G,7
391369,170,20250916,5521,202509,2756.55,F,8
172933,1,20250608,5522,202506,2091.33,B,7
895667,1,20250217,5523,202502,72.0,H,8
988662,1,20251023,5524,202510,2946.53,K,11
770487,170,20251225,5525,202512,2317.7,K,10
542417,170,20250317,5526,202503,1877.86,H,16
872246,60,20250212,5527,202502,2505.2,G,8
496922,60,20251125,5528,202511,3139.74,H,3
542417,20,20250817,5529,202508,510.62,Z,3
872246,60,20250712,5530,202507,2335.43,G,10
267414,20,20250512,5531,202505,3244.84,H,11
197251,1,20250721,5532,202507,988.25,G,7
343962,170,20260105,5533,202601,2707.01,G,4
308496,170,20250720,5534,202507,1657.89,H,18
460663,170,20251231,5535,202512,766.34,H,9
329258,60,20250117,5536,202501,593.77,J,20
356787,60,20250322,5537,202503,2933.94,H,3
895667,20,20250602,5538,202506,1417.04,G,10
267414,20,20260125,5539,202601,3467.83,G,13
301629,60,20250912,5540,202509,2630.87,H,15
542417,170,20260117,5541,202601,2788.64,G,2
571029,170,20250206,5542,202502,733.56,H,3
267414,20,20260122,5543,202601,308.71,Y,7
759176,20,20260120,5544,202601,494.33,K,11
329258,170,20241223,5545,202412,3300.87,G,19
407419,60,20260126,5546,202601,2549.29,B,13
182627,170,20250228,5547,202502,1271.1,K,9
456778,20,20250718,5548,202507,3097.81,G,20
895667,1,20251029,5549,202510,1068.11,H,18
148050,20,20250102,5550,202501,352.64,H,14
