stdlinxscd,tdlinx_store_sk,stranscd,smodchgind,sfiledt,sstatusind,sname,sno,sstreetadd,scity,sst,szip,splacenm,sstcd,scntcd,scntrynm,stradeclcd,sformatcd,snostrcd,schainind,sfiller1,slat,slong,slatlongcd,sblockid,sfiller2,sareacd,sphoneno,sfiller3,sannvolcd,swklyvol,ssqft,sftemploy,snmchkout,sfiller4,stdlinxocd,sownfamcd,sownnm,sowncity,sownst,sownstcd,sowncntcd,sfiller5,stdlinxpcd,ssupfamcd,ssupnm,ssupcity,ssupst,ssupstcd,ssupcntcd,sfiller6,stdlinxgcd,sgrpnm,sfranind,sfiller7,sgas,shivolcig,spharm,sliquor,swine,sbeer,sonprem,sfoodtype,sfuture1,sfuture2,sfuture3,sfiller8,src_desc,cstdlinxscd,current_ind,trade_channel_desc,premise_type,tdlinx_premise,store_volume_desc,chain_indicator_desc,food_type_desc,format_type_desc,lat_long_geo_desc,no_of_stores_desc,store_status_desc,transaction_code_desc,htdlinxucd,hulname,td_store_osk,source_system,ecommerce_provider,ecommerce_delivery_ind,ecommerce_in_store_pickup_ind,ecommerce_curbside_pickup_ind,load_dt,modified_dt
TDLX00010,1000000010,N,ADD,20260129,A,Liquor Barn,1010,5593 Market St,San Diego,CA,92101,San Diego,CA,USA,United States,OFF,Co,10,C,FILLER,30.5932,-66.8315,Y,BLK00010,FILLER,CA,355-555-5968,FILLER,L,3485,7408,73,4,FILLER,OWN00010,FAM010,Liquor Barn Inc,San Diego,CA,CA,USA,FILLER,PROV00010,SUP001,Southern Glazer's,Dallas,CA,CA,USA,FILLER,GRP010,Liquor Barn Group,Y,FILLER,N,Y,Y,Y,Y,Y,N,CONV,FUTURE1,FUTURE2,FUTURE3,FILLER,SGWS,TDLX00010,Y,Retail - Off Premise,OFF,OFF-Premise,"Medium Volume,$2-5M",Chain,Convenience Store,Convenience Store,Valid Coordinates,Multi-Unit,Active,New Account,ULOC00010,LIQUOR BARN SAN DIEGO,1000000010,SGWS,None,N,N,N,2026-01-29 12:00:00.000000,2026-01-29 12:00:00.000000
TDLX00011,1000000011,N,ADD,20260129,A,The Cheesecake Factory,1011,4509 Market St,Philadelphia,PA,19101,Philadelphia,PA,USA,United States,ON,Fi,11,I,FILLER,45.2192,-90.0522,Y,BLK00011,FILLER,PA,981-555-4994,FILLER,M,3168,24931,42,3,FILLER,OWN00011,FAM011,The Cheesecake Factory Inc,Philadelphia,PA,PA,USA,FILLER,PROV00011,SUP001,Southern Glazer's,New York,TX,NY,USA,FILLER,GRP011,The Cheesecake Factory Group,N,FILLER,N,N,N,Y,Y,Y,Y,CASUAL,FUTURE1,FUTURE2,FUTURE3,FILLER,SGWS,TDLX00011,Y,Restaurant - On Premise,ON,ON-Premise,"Medium Volume,$2-5M",Independent,Fine Dining,Fine Dining,Valid Coordinates,Single Store,Active,New Account,ULOC00011,THE CHEESECAKE FACTO PHILADELPH,1000000011,SGWS,None,N,N,N,2026-01-29 12:00:00.000000,2026-01-29 12:00:00.000000
TDLX00012,1000000012,N,ADD,20260129,A,Gary's Wine & Marketplace,1012,8541 1st Ave,Indianapolis,IN,46201,Indianapolis,IN,USA,United States,OFF,Su,12,C,FILLER,25.9539,-73.2108,Y,BLK00012,FILLER,IN,328-555-7982,FILLER,H,3520,22207,89,6,FILLER,OWN00012,FAM012,Gary's Wine & Marketplace Inc,Indianapolis,IN,IN,USA,FILLER,PROV00012,SUP001,Southern Glazer's,Miami,FL,NY,USA,FILLER,GRP012,Gary's Wine & Marketplace Group,Y,FILLER,N,Y,Y,Y,Y,Y,N,CONV,FUTURE1,FUTURE2,FUTURE3,FILLER,SGWS,TDLX00012,Y,Retail - Off Premise,OFF,OFF-Premise,"Low Volume,<$2M",Chain,Superstore,Superstore,Valid Coordinates,Multi-Unit,Active,New Account,ULOC00012,GARY'S WINE & MARKET INDIANAPOL,1000000012,SGWS,Uber Eats,Y,N,Y,2026-01-29 12:00:00.000000,2026-01-29 12:00:00.000000
TDLX00013,1000000013,N,ADD,20260129,A,The Capital Grille,1013,2152 Elm St,Milwaukee,WI,53201,Milwaukee,WI,USA,United States,ON,Ca,13,C,FILLER,36.2747,-95.5904,Y,BLK00013,FILLER,WI,266-555-1836,FILLER,H,2927,25122,86,3,FILLER,OWN00013,FAM013,The Capital Grille Inc,Milwaukee,WI,WI,USA,FILLER,PROV00013,SUP001,Southern Glazer's,New York,TX,TX,USA,FILLER,GRP013,The Capital Grille Group,Y,FILLER,N,N,N,Y,Y,Y,Y,ITALIAN,FUTURE1,FUTURE2,FUTURE3,FILLER,SGWS,TDLX00013,Y,Restaurant - On Premise,ON,ON-Premise,"High Volume,$10M+",Chain,Casual Dining,Casual Dining,Valid Coordinates,Multi-Unit,Active,New Account,ULOC00013,THE CAPITAL GRILLE MILWAUKEE,1000000013,SGWS,Instacart,Y,Y,N,2026-01-29 12:00:00.000000,2026-01-29 12:00:00.000000
TDLX00014,1000000014,N,ADD,20260129,A,The Cheesecake Factory,1014,5110 1st Ave,Fort Worth,TX,76101,Fort Worth,TX,USA,United States,ON,Ca,14,I,FILLER,46.3542,-99.3369,Y,BLK00014,FILLER,TX,220-555-5799,FILLER,L,8438,9897,37,4,FILLER,OWN00014,FAM014,The Cheesecake Factory Inc,Fort Worth,TX,TX,USA,FILLER,PROV00014,SUP001,Southern Glazer's,Dallas,NY,CA,USA,FILLER,GRP014,The Cheesecake Factory Group,N,FILLER,N,N,N,Y,Y,Y,Y,SEAFOOD,FUTURE1,FUTURE2,FUTURE3,FILLER,SGWS,TDLX00014,Y,Restaurant - On Premise,ON,ON-Premise,"Medium Volume,$5-10M",Independent,Casual Dining,Casual Dining,Valid Coordinates,Single Store,Active,New Account,ULOC00014,THE CHEESECAKE FACTO FORT WORTH,1000000014,SGWS,None,N,N,N,2026-01-29 12:00:00.000000,2026-01-29 12:00:00.000000
TDLX00015,1000000015,N,ADD,20260129,A,Riverside Liquor,1015,1473 Broadway,Tampa,FL,33601,Tampa,FL,USA,United States,OFF,Su,15,C,FILLER,41.7941,-71.3067,Y,BLK00015,FILLER,FL,972-555-7257,FILLER,H,1117,17654,89,8,FILLER,OWN00015,FAM015,Riverside Liquor Inc,Tampa,FL,FL,USA,FILLER,PROV00015,SUP001,Southern Glazer's,New York,CA,NY,USA,FILLER,GRP015,Riverside Liquor Group,Y,FILLER,N,Y,Y,Y,Y,Y,N,RETAIL,FUTURE1,FUTURE2,FUTURE3,FILLER,SGWS,TDLX00015,Y,Retail - Off Premise,OFF,OFF-Premise,"Medium Volume,$5-10M",Chain,Superstore,Superstore,Valid Coordinates,Multi-Unit,Active,New Account,ULOC00015,RIVERSIDE LIQUOR TAMPA,1000000015,SGWS,None,N,N,N,2026-01-29 12:00:00.000000,2026-01-29 12:00:00.000000
TDLX00016,1000000016,N,ADD,20260129,A,Riverside Liquor,1016,5578 Elm St,Phoenix,AZ,85001,Phoenix,AZ,USA,United States,OFF,Su,16,I,FILLER,45.5211,-103.5082,Y,BLK00016,FILLER,AZ,722-555-1177,FILLER,L,1508,23616,54,3,FILLER,OWN00016,FAM016,Riverside Liquor Inc,Phoenix,AZ,AZ,USA,FILLER,PROV00016,SUP001,Southern Glazer's,Dallas,TX,NY,USA,FILLER,GRP016,Riverside Liquor Group,N,FILLER,N,Y,Y,Y,Y,Y,N,RETAIL,FUTURE1,FUTURE2,FUTURE3,FILLER,SGWS,TDLX00016,Y,Retail - Off Premise,OFF,OFF-Premise,"High Volume,$10M+",Independent,Superstore,Superstore,Valid Coordinates,Single Store,Active,New Account,ULOC00016,RIVERSIDE LIQUOR PHOENIX,1000000016,SGWS,Instacart,Y,Y,N,2026-01-29 12:00:00.000000,2026-01-29 12:00:00.000000
TDLX00017,1000000017,N,ADD,20260129,A,Keg N Bottle,1017,581 Broadway,Memphis,TN,38101,Memphis,TN,USA,United States,OFF,Su,17,I,FILLER,42.543,-85.5158,Y,BLK00017,FILLER,TN,279-555-6751,FILLER,M,6785,10942,30,11,FILLER,OWN00017,FAM017,Keg N Bottle Inc,Memphis,TN,TN,USA,FILLER,PROV00017,SUP001,Southern Glazer's,New York,FL,CA,USA,FILLER,GRP017,Keg N Bottle Group,N,FILLER,N,Y,Y,Y,Y,Y,N,RETAIL,FUTURE1,FUTURE2,FUTURE3,FILLER,SGWS,TDLX00017,Y,Retail - Off Premise,OFF,OFF-Premise,"Medium Volume,$2-5M",Independent,Superstore,Superstore,Valid Coordinates,Single Store,Active,New Account,ULOC00017,KEG N BOTTLE MEMPHIS,1000000017,SGWS,None,N,N,N,2026-01-29 12:00:00.000000,2026-01-29 12:00:00.000000
TDLX00018,1000000018,N,ADD,20260129,A,Spec's Wine Spirit & Finer Foods,1018,163 Main St,New Orleans,LA,70112,New Orleans,LA,USA,United States,OFF,Sp,18,C,FILLER,29.9516,-81.1293,Y,BLK00018,FILLER,LA,638-555-4277,FILLER,M,6815,22619,56,10,FILLER,OWN00018,FAM018,Spec's Wine Spirit & Finer Foods Inc,New Orleans,LA,LA,USA,FILLER,PROV00018,SUP001,Southern Glazer's,Los Angeles,NY,NY,USA,FILLER,GRP018,Spec's Wine Spirit & Finer Foods Group,Y,FILLER,N,Y,Y,Y,Y,Y,N,SPEC,FUTURE1,FUTURE2,FUTURE3,FILLER,SGWS,TDLX00018,Y,Retail - Off Premise,OFF,OFF-Premise,"Medium Volume,$2-5M",Chain,Specialty Store,Specialty Store,Valid Coordinates,Multi-Unit,Active,New Account,ULOC00018,SPEC'S WINE SPIRIT & NEW ORLEAN,1000000018,SGWS,DoorDash,Y,Y,Y,2026-01-29 12:00:00.000000,2026-01-29 12:00:00.000000
TDLX00019,1000000019,N,ADD,20260129,A,ABC Fine Wine & Spirits,1019,1126 1st Ave,Miami,FL,33101,Miami,FL,USA,United States,OFF,Co,19,C,FILLER,34.7392,-92.2191,Y,BLK00019,FILLER,FL,321-555-1967,FILLER,H,1682,25902,24,12,FILLER,OWN00019,FAM019,ABC Fine Wine & Spirits Inc,Miami,FL,FL,USA,FILLER,PROV00019,SUP001,Southern Glazer's,New York,FL,NY,USA,FILLER,GRP019,ABC Fine Wine & Spirits Group,Y,FILLER,N,Y,Y,Y,Y,Y,N,SPEC,FUTURE1,FUTURE2,FUTURE3,FILLER,SGWS,TDLX00019,Y,Retail - Off Premise,OFF,OFF-Premise,"Medium Volume,$5-10M",Chain,Convenience Store,Convenience Store,Valid Coordinates,Multi-Unit,Active,New Account,ULOC00019,ABC FINE WINE & SPIR MIAMI,1000000019,SGWS,None,N,N,N,2026-01-29 12:00:00.000000,2026-01-29 12:00:00.000000
TDLX00020,1000000020,N,ADD,20260129,A,Liquor Barn,1020,7822 Main St,New Orleans,LA,70112,New Orleans,LA,USA,United States,OFF,Su,20,C,FILLER,48.268,-92.3974,Y,BLK00020,FILLER,LA,242-555-3967,FILLER,M,2998,27345,89,10,FILLER,OWN00020,FAM020,Liquor Barn Inc,New Orleans,LA,LA,USA,FILLER,PROV00020,SUP001,Southern Glazer's,New York,FL,TX,USA,FILLER,GRP020,Liquor Barn Group,Y,FILLER,N,Y,Y,Y,Y,Y,N,CONV,FUTURE1,FUTURE2,FUTURE3,FILLER,SGWS,TDLX00020,Y,Retail - Off Premise,OFF,OFF-Premise,"Medium Volume,$5-10M",Chain,Superstore,Superstore,Valid Coordinates,Multi-Unit,Active,New Account,ULOC00020,LIQUOR BARN NEW ORLEAN,1000000020,SGWS,None,N,N,N,2026-01-29 12:00:00.000000,2026-01-29 12:00:00.000000
TDLX00021,1000000021,N,ADD,20260129,A,Total Wine & More,1021,4707 Elm St,New Orleans,LA,70112,New Orleans,LA,USA,United States,OFF,Su,21,C,FILLER,28.6536,-71.3814,Y,BLK00021,FILLER,LA,814-555-3770,FILLER,H,1011,6242,36,11,FILLER,OWN00021,FAM021,Total Wine & More Inc,New Orleans,LA,LA,USA,FILLER,PROV00021,SUP001,Southern Glazer's,New York,TX,CA,USA,FILLER,GRP021,Total Wine & More Group,Y,FILLER,N,Y,Y,Y,Y,Y,N,CONV,FUTURE1,FUTURE2,FUTURE3,FILLER,SGWS,TDLX00021,Y,Retail - Off Premise,OFF,OFF-Premise,"Medium Volume,$2-5M",Chain,Superstore,Superstore,Valid Coordinates,Multi-Unit,Active,New Account,ULOC00021,TOTAL WINE & MORE NEW ORLEAN,1000000021,SGWS,None,N,N,N,2026-01-29 12:00:00.000000,2026-01-29 12:00:00.000000
TDLX00022,1000000022,N,ADD,20260129,A,Bottles,1022,9619 Pine St,San Jose,CA,95101,San Jose,CA,USA,United States,OFF,Su,22,I,FILLER,35.9907,-75.5936,Y,BLK00022,FILLER,CA,859-555-4554,FILLER,H,8725,23459,39,8,FILLER,OWN00022,FAM022,Bottles Inc,San Jose,CA,CA,USA,FILLER,PROV00022,SUP001,Southern Glazer's,Los Angeles,CA,FL,USA,FILLER,GRP022,Bottles Group,N,FILLER,N,Y,Y,Y,Y,Y,N,SPEC,FUTURE1,FUTURE2,FUTURE3,FILLER,SGWS,TDLX00022,Y,Retail - Off Premise,OFF,OFF-Premise,"Medium Volume,$2-5M",Independent,Superstore,Superstore,Valid Coordinates,Single Store,Active,New Account,ULOC00022,BOTTLES SAN JOSE,1000000022,SGWS,None,N,N,N,2026-01-29 12:00:00.000000,2026-01-29 12:00:00.000000
TDLX00023,1000000023,N,ADD,20260129,A,Riverside Liquor,1023,8701 Elm St,Jacksonville,FL,32201,Jacksonville,FL,USA,United States,OFF,Su,23,C,FILLER,43.1795,-81.1869,Y,BLK00023,FILLER,FL,944-555-5042,FILLER,H,1390,13114,90,4,FILLER,OWN00023,FAM023,Riverside Liquor Inc,Jacksonville,FL,FL,USA,FILLER,PROV00023,SUP001,Southern Glazer's,Los Angeles,FL,TX,USA,FILLER,GRP023,Riverside Liquor Group,Y,FILLER,N,Y,Y,Y,Y,Y,N,SPEC,FUTURE1,FUTURE2,FUTURE3,FILLER,SGWS,TDLX00023,Y,Retail - Off Premise,OFF,OFF-Premise,"Medium Volume,$5-10M",Chain,Superstore,Superstore,Valid Coordinates,Multi-Unit,Active,New Account,ULOC00023,RIVERSIDE LIQUOR JACKSONVIL,1000000023,SGWS,Instacart,Y,Y,N,2026-01-29 12:00:00.000000,2026-01-29 12:00:00.000000
TDLX00024,1000000024,N,ADD,20260129,A,BevMo!,1024,6220 Oak Ave,Nashville,TN,37201,Nashville,TN,USA,United States,OFF,Co,24,C,FILLER,40.7023,-100.3022,Y,BLK00024,FILLER,TN,575-555-2122,FILLER,H,2608,25950,37,5,FILLER,OWN00024,FAM024,BevMo! Inc,Nashville,TN,TN,USA,FILLER,PROV00024,SUP001,Southern Glazer's,New York,NY,TX,USA,FILLER,GRP024,BevMo! Group,Y,FILLER,N,Y,Y,Y,Y,Y,N,SPEC,FUTURE1,FUTURE2,FUTURE3,FILLER,SGWS,TDLX00024,Y,Retail - Off Premise,OFF,OFF-Premise,"Low Volume,<$2M",Chain,Convenience Store,Convenience Store,Valid Coordinates,Multi-Unit,Active,New Account,ULOC00024,BEVMO! NASHVILLE,1000000024,SGWS,None,N,N,N,2026-01-29 12:00:00.000000,2026-01-29 12:00:00.000000
TDLX00025,1000000025,N,ADD,20260129,A,Eddie V's,1025,9737 Main St,San Antonio,TX,78201,San Antonio,TX,USA,United States,ON,Ba,25,C,FILLER,33.4402,-68.5848,Y,BLK00025,FILLER,TX,843-555-8484,FILLER,M,5136,24776,84,12,FILLER,OWN00025,FAM025,Eddie V's Inc,San Antonio,TX,TX,USA,FILLER,PROV00025,SUP001,Southern Glazer's,Los Angeles,FL,CA,USA,FILLER,GRP025,Eddie V's Group,Y,FILLER,N,N,N,Y,Y,Y,Y,CASUAL,FUTURE1,FUTURE2,FUTURE3,FILLER,SGWS,TDLX00025,Y,Restaurant - On Premise,ON,ON-Premise,"High Volume,$10M+",Chain,Bar & Grill,Bar & Grill,Valid Coordinates,Multi-Unit,Active,New Account,ULOC00025,EDDIE V'S SAN ANTONI,1000000025,SGWS,None,N,N,N,2026-01-29 12:00:00.000000,2026-01-29 12:00:00.000000
TDLX00026,1000000026,N,ADD,20260129,A,Morton's The Steakhouse,1026,367 Pine St,Los Angeles,CA,90001,Los Angeles,CA,USA,United States,ON,Ba,26,C,FILLER,40.851,-78.2972,Y,BLK00026,FILLER,CA,720-555-3160,FILLER,L,9862,21895,52,6,FILLER,OWN00026,FAM026,Morton's The Steakhouse Inc,Los Angeles,CA,CA,USA,FILLER,PROV00026,SUP001,Southern Glazer's,Dallas,NY,CA,USA,FILLER,GRP026,Morton's The Steakhouse Group,Y,FILLER,N,N,N,Y,Y,Y,Y,STEAK,FUTURE1,FUTURE2,FUTURE3,FILLER,SGWS,TDLX00026,Y,Restaurant - On Premise,ON,ON-Premise,"High Volume,$10M+",Chain,Bar & Grill,Bar & Grill,Valid Coordinates,Multi-Unit,Active,New Account,ULOC00026,MORTON'S THE STEAKHO LOS ANGELE,1000000026,SGWS,Instacart,Y,Y,N,2026-01-29 12:00:00.000000,2026-01-29 12:00:00.000000
