payment_id,order_id,payment_date,payment_method,provider,transaction_id,amount,status
PMT000025,O000025,2024-04-09,Card,PayPal,TXN-000025,953.25,Paid
PMT000026,O000026,2024-01-30,Card,PayPal,TXN-000026,660.12,Paid
PMT000027,O000027,2024-03-05,Card,Stripe,TXN-000027,444.76,Paid
PMT000028,O000028,2024-04-29,BankTransfer,PayPal,TXN-000028,261.83,Paid
PMT000029,O000029,2024-06-07,BankTransfer,PayPal,TXN-000029,333.18,Paid
PMT000030,O000030,2024-03-03,Wallet,Stripe,TXN-000030,17.67,Paid
PMT000031,O000031,2024-06-05,BankTransfer,Adyen,TXN-000031,313.68,Paid
PMT000032,O000032,2024-06-17,Wallet,PayPal,TXN-000032,67.09,Refunded
PMT000033,O000033,2024-03-04,PayPal,Braintree,TXN-000033,919.62,Paid
PMT000034,O000034,2024-03-16,Wallet,Stripe,TXN-000034,750.78,Paid
PMT000035,O000035,2024-04-20,Card,Stripe,TXN-000035,507.22,Paid
PMT000036,O000036,2024-04-22,BankTransfer,Braintree,TXN-000036,259.66,Paid
PMT000037,O000037,2024-01-26,BankTransfer,Braintree,TXN-000037,793.9,Paid
PMT000038,O000038,2024-01-28,Card,PayPal,TXN-000038,141.54,Paid
PMT000039,O000039,2024-04-26,Card,PayPal,TXN-000039,248.48,Refunded
PMT000040,O000040,2024-02-28,BankTransfer,Adyen,TXN-000040,748.13,Paid
PMT000041,O000041,2024-05-30,Card,Adyen,TXN-000041,0.0,Pending
PMT000042,O000042,2024-01-18,PayPal,PayPal,TXN-000042,457.16,Paid
PMT000043,O000043,2024-04-01,Wallet,Stripe,TXN-000043,110.53,Paid
PMT000044,O000044,2024-04-12,Wallet,Braintree,TXN-000044,284.34,Paid
PMT000045,O000045,2024-02-28,Wallet,Stripe,TXN-000045,1101.69,Paid
PMT000046,O000046,2024-01-13,PayPal,Stripe,TXN-000046,402.95,Paid
PMT000047,O000047,2024-05-04,PayPal,PayPal,TXN-000047,76.87,Paid
PMT000048,O000048,2024-05-20,PayPal,Braintree,TXN-000048,834.07,Paid
PMT000049,O000049,2024-01-06,PayPal,Braintree,TXN-000049,89.65,Paid
PMT000050,O000050,2024-06-11,PayPal,Stripe,TXN-000050,1281.01,Paid
PMT000051,O000051,2024-02-23,Wallet,Adyen,TXN-000051,460.49,Paid
PMT000052,O000052,2024-02-01,PayPal,PayPal,TXN-000052,0.0,Pending
PMT000053,O000053,2024-03-07,Card,PayPal,TXN-000053,322.27,Paid
PMT000054,O000054,2024-01-26,PayPal,PayPal,TXN-000054,1243.64,Paid
PMT000055,O000055,2024-06-10,Wallet,PayPal,TXN-000055,210.76,Refunded
PMT000056,O000056,2024-02-13,BankTransfer,Stripe,TXN-000056,331.32,Paid
PMT000057,O000057,2024-03-20,Wallet,PayPal,TXN-000057,1069.78,Paid
PMT000058,O000058,2024-04-03,Card,PayPal,TXN-000058,1077.38,Paid
PMT000059,O000059,2024-07-01,PayPal,Braintree,TXN-000059,132.12,Paid
PMT000060,O000060,2024-06-06,PayPal,Stripe,TXN-000060,97.31,Paid
PMT000061,O000061,2024-01-04,BankTransfer,Stripe,TXN-000061,123.68,Paid
PMT000062,O000062,2024-05-09,Card,Braintree,TXN-000062,139.33,Paid
PMT000063,O000063,2024-03-23,PayPal,Adyen,TXN-000063,79.61,Paid
PMT000064,O000064,2024-05-26,PayPal,Stripe,TXN-000064,292.53,Paid
PMT000065,O000065,2024-06-24,Wallet,PayPal,TXN-000065,1148.52,Paid
PMT000066,O000066,2024-04-02,Wallet,Braintree,TXN-000066,1297.5,Paid
PMT000067,O000067,2024-06-24,PayPal,PayPal,TXN-000067,275.75,Paid
PMT000068,O000068,2024-05-14,PayPal,Braintree,TXN-000068,575.41,Refunded
PMT000069,O000069,2024-01-22,BankTransfer,Stripe,TXN-000069,91.26,Paid
PMT000070,O000070,2024-02-26,Wallet,Braintree,TXN-000070,692.28,Paid
PMT000071,O000071,2024-06-05,Wallet,Adyen,TXN-000071,574.3,Paid
PMT000072,O000072,2024-03-07,Wallet,Stripe,TXN-000072,30.65,Paid
PMT000073,O000073,2024-06-16,Wallet,Stripe,TXN-000073,1488.35,Paid
PMT000074,O000074,2024-01-14,Card,Stripe,TXN-000074,407.94,Paid
PMT000075,O000075,2024-05-18,Card,Braintree,TXN-000075,891.46,Paid
PMT000076,O000076,2024-03-28,PayPal,Stripe,TXN-000076,239.59,Paid
PMT000077,O000077,2024-06-25,BankTransfer,Adyen,TXN-000077,858.54,Paid
PMT000078,O000078,2024-06-03,Wallet,Adyen,TXN-000078,135.68,Paid
PMT000079,O000079,2024-06-19,Card,PayPal,TXN-000079,465.79,Refunded
PMT000080,O000080,2024-05-27,Wallet,Braintree,TXN-000080,810.56,Paid
PMT000081,O000081,2024-03-15,Wallet,Stripe,TXN-000081,724.35,Paid
PMT000082,O000082,2024-01-26,Wallet,Adyen,TXN-000082,288.19,Paid
PMT000083,O000083,2024-06-14,Card,Braintree,TXN-000083,462.29,Paid
PMT000084,O000084,2024-05-03,Wallet,Braintree,TXN-000084,40.56,Paid
PMT000085,O000085,2024-02-14,PayPal,PayPal,TXN-000085,424.09,Paid
PMT000086,O000086,2024-03-08,PayPal,PayPal,TXN-000086,659.89,Paid
PMT000087,O000087,2024-06-06,Wallet,Braintree,TXN-000087,0.0,Pending
PMT000088,O000088,2024-02-13,BankTransfer,Adyen,TXN-000088,824.98,Paid
PMT000089,O000089,2024-04-28,Card,Stripe,TXN-000089,137.05,Refunded
PMT000090,O000090,2024-05-15,BankTransfer,Stripe,TXN-000090,311.45,Paid
PMT000091,O000091,2024-02-23,Card,Braintree,TXN-000091,716.63,Paid
PMT000092,O000092,2024-03-07,BankTransfer,PayPal,TXN-000092,545.78,Paid
PMT000093,O000093,2024-05-12,BankTransfer,Adyen,TXN-000093,479.2,Paid
PMT000094,O000094,2024-04-11,BankTransfer,PayPal,TXN-000094,0.0,Pending
PMT000095,O000095,2024-03-28,PayPal,Adyen,TXN-000095,515.65,Paid
PMT000096,O000096,2024-04-19,Wallet,Braintree,TXN-000096,132.27,Paid
PMT000097,O000097,2024-06-06,PayPal,Adyen,TXN-000097,1013.02,Paid
PMT000098,O000098,2024-03-04,Wallet,Adyen,TXN-000098,496.55,Paid
PMT000099,O000099,2024-01-08,Card,Stripe,TXN-000099,1297.42,Paid
PMT000100,O000100,2024-04-29,Card,Braintree,TXN-000100,456.83,Paid
PMT000101,O000101,2024-02-28,BankTransfer,Stripe,TXN-000101,682.62,Paid
PMT000102,O000102,2024-02-11,Card,Braintree,TXN-000102,139.92,Refunded
PMT000103,O000103,2024-02-12,Wallet,Braintree,TXN-000103,626.45,Paid
PMT000104,O000104,2024-03-31,Card,Stripe,TXN-000104,290.69,Refunded
PMT000105,O000105,2024-02-15,Card,PayPal,TXN-000105,51.62,Refunded
PMT000106,O000106,2024-01-19,PayPal,Adyen,TXN-000106,529.49,Refunded
PMT000107,O000107,2024-07-02,Card,Adyen,TXN-000107,949.67,Paid
PMT000108,O000108,2024-01-04,BankTransfer,PayPal,TXN-000108,1004.54,Paid
PMT000109,O000109,2024-03-07,BankTransfer,PayPal,TXN-000109,929.64,Paid
PMT000110,O000110,2024-05-12,Card,PayPal,TXN-000110,392.54,Paid
PMT000111,O000111,2024-06-24,Wallet,PayPal,TXN-000111,185.97,Paid
PMT000112,O000112,2024-02-05,PayPal,Braintree,TXN-000112,742.81,Paid
PMT000113,O000113,2024-03-11,Card,Braintree,TXN-000113,0.0,Pending
PMT000114,O000114,2024-04-22,Wallet,PayPal,TXN-000114,728.13,Paid
PMT000115,O000115,2024-06-21,Wallet,Adyen,TXN-000115,465.73,Paid
PMT000116,O000116,2024-07-02,Card,PayPal,TXN-000116,892.33,Paid
PMT000117,O000117,2024-04-12,BankTransfer,PayPal,TXN-000117,136.07,Paid
PMT000118,O000118,2024-06-12,PayPal,PayPal,TXN-000118,170.69,Paid
PMT000119,O000119,2024-05-07,Wallet,Stripe,TXN-000119,913.07,Paid
PMT000120,O000120,2024-03-28,PayPal,Adyen,TXN-000120,979.52,Paid
PMT000121,O000121,2024-03-04,BankTransfer,Adyen,TXN-000121,0.0,Pending
PMT000122,O000122,2024-04-01,PayPal,Braintree,TXN-000122,220.67,Refunded
PMT000123,O000123,2024-06-17,Wallet,Braintree,TXN-000123,0.0,Pending
PMT000124,O000124,2024-02-04,BankTransfer,Stripe,TXN-000124,1127.95,Paid
PMT000125,O000125,2024-06-03,Wallet,PayPal,TXN-000125,794.74,Paid
PMT000126,O000126,2024-03-30,BankTransfer,Stripe,TXN-000126,444.11,Paid
PMT000127,O000127,2024-03-31,Card,PayPal,TXN-000127,0.0,Pending
PMT000128,O000128,2024-05-31,Card,PayPal,TXN-000128,461.22,Paid
PMT000129,O000129,2024-04-14,BankTransfer,Adyen,TXN-000129,827.4,Paid
PMT000130,O000130,2024-04-08,PayPal,PayPal,TXN-000130,783.61,Paid
PMT000131,O000131,2024-02-18,Card,PayPal,TXN-000131,269.39,Refunded
PMT000132,O000132,2024-02-10,PayPal,Braintree,TXN-000132,481.98,Paid
PMT000133,O000133,2024-06-20,Wallet,PayPal,TXN-000133,140.27,Paid
PMT000134,O000134,2024-02-22,Card,Adyen,TXN-000134,579.84,Paid
PMT000135,O000135,2024-01-11,BankTransfer,Braintree,TXN-000135,109.38,Paid
PMT000136,O000136,2024-03-17,PayPal,Adyen,TXN-000136,811.9,Paid
PMT000137,O000137,2024-01-29,Wallet,Stripe,TXN-000137,398.23,Paid
PMT000138,O000138,2024-06-15,PayPal,Braintree,TXN-000138,439.84,Refunded
PMT000139,O000139,2024-03-18,Wallet,Braintree,TXN-000139,135.82,Paid
PMT000140,O000140,2024-05-16,BankTransfer,Adyen,TXN-000140,477.85,Paid
PMT000141,O000141,2024-06-10,PayPal,PayPal,TXN-000141,445.7,Paid
PMT000142,O000142,2024-04-15,Card,Stripe,TXN-000142,744.24,Paid
PMT000143,O000143,2024-04-02,PayPal,Adyen,TXN-000143,503.64,Paid
PMT000144,O000144,2024-03-12,BankTransfer,Braintree,TXN-000144,240.58,Refunded
PMT000145,O000145,2024-04-11,Wallet,Adyen,TXN-000145,539.29,Paid
PMT000146,O000146,2024-01-08,Wallet,Stripe,TXN-000146,747.95,Paid
PMT000147,O000147,2024-05-26,BankTransfer,PayPal,TXN-000147,1630.48,Paid
PMT000148,O000148,2024-02-04,Card,Stripe,TXN-000148,430.72,Paid
PMT000149,O000149,2024-03-26,Card,Stripe,TXN-000149,76.89,Paid
PMT000150,O000150,2024-05-06,PayPal,PayPal,TXN-000150,133.28,Paid
PMT000151,O000151,2024-02-18,Card,Braintree,TXN-000151,563.75,Paid
PMT000152,O000152,2024-06-23,Card,PayPal,TXN-000152,83.99,Paid
PMT000153,O000153,2024-05-08,Wallet,Braintree,TXN-000153,350.13,Paid
PMT000154,O000154,2024-01-08,Card,Braintree,TXN-000154,35.7,Paid
PMT000155,O000155,2024-04-11,Card,Stripe,TXN-000155,1365.02,Paid
PMT000156,O000156,2024-05-08,PayPal,PayPal,TXN-000156,843.9,Paid
PMT000157,O000157,2024-01-05,PayPal,Adyen,TXN-000157,373.72,Paid
PMT000158,O000158,2024-01-25,Wallet,Braintree,TXN-000158,272.9,Paid
PMT000159,O000159,2024-01-17,PayPal,Stripe,TXN-000159,1369.23,Paid
PMT000160,O000160,2024-04-06,Wallet,PayPal,TXN-000160,926.31,Paid
PMT000161,O000161,2024-06-04,BankTransfer,Braintree,TXN-000161,821.44,Paid
PMT000162,O000162,2024-05-26,BankTransfer,PayPal,TXN-000162,0.0,Pending
PMT000163,O000163,2024-04-16,Card,Adyen,TXN-000163,405.67,Paid
PMT000164,O000164,2024-06-16,BankTransfer,Braintree,TXN-000164,311.84,Paid
PMT000165,O000165,2024-01-09,Card,PayPal,TXN-000165,155.08,Paid
PMT000166,O000166,2024-05-17,Wallet,Adyen,TXN-000166,980.59,Refunded
PMT000167,O000167,2024-01-13,Card,Adyen,TXN-000167,268.11,Paid
PMT000168,O000168,2024-01-06,Wallet,PayPal,TXN-000168,139.89,Paid
PMT000169,O000169,2024-01-02,Card,PayPal,TXN-000169,304.43,Paid
PMT000170,O000170,2024-02-07,Wallet,PayPal,TXN-000170,134.55,Paid
PMT000171,O000171,2024-01-19,PayPal,Adyen,TXN-000171,476.18,Paid
PMT000172,O000172,2024-06-29,Wallet,Adyen,TXN-000172,90.44,Paid
PMT000173,O000173,2024-06-13,PayPal,PayPal,TXN-000173,397.95,Paid
PMT000174,O000174,2024-01-11,PayPal,Braintree,TXN-000174,219.62,Paid
PMT000175,O000175,2024-01-29,Wallet,Adyen,TXN-000175,435.39,Paid
PMT000176,O000176,2024-06-14,PayPal,Braintree,TXN-000176,223.54,Paid
PMT000177,O000177,2024-01-08,BankTransfer,Braintree,TXN-000177,130.65,Paid
PMT000178,O000178,2024-02-23,BankTransfer,Braintree,TXN-000178,1449.22,Paid
PMT000179,O000179,2024-05-20,Wallet,Stripe,TXN-000179,458.2,Paid
PMT000180,O000180,2024-01-04,Wallet,Stripe,TXN-000180,120.56,Paid
PMT000181,O000181,2024-02-11,Wallet,Adyen,TXN-000181,93.74,Paid
PMT000182,O000182,2024-02-17,BankTransfer,Stripe,TXN-000182,918.15,Paid
PMT000183,O000183,2024-01-18,BankTransfer,PayPal,TXN-000183,388.42,Paid
PMT000184,O000184,2024-05-24,BankTransfer,Stripe,TXN-000184,697.93,Paid
PMT000185,O000185,2024-05-04,PayPal,Braintree,TXN-000185,1731.94,Paid
PMT000186,O000186,2024-04-21,PayPal,Adyen,TXN-000186,0.0,Pending
PMT000187,O000187,2024-05-12,Card,Adyen,TXN-000187,548.33,Paid
PMT000188,O000188,2024-06-17,BankTransfer,Stripe,TXN-000188,882.09,Paid
PMT000189,O000189,2024-06-12,Wallet,Adyen,TXN-000189,270.58,Refunded
PMT000190,O000190,2024-02-05,Wallet,PayPal,TXN-000190,770.53,Paid
PMT000191,O000191,2024-03-29,BankTransfer,Braintree,TXN-000191,898.77,Paid
PMT000192,O000192,2024-03-11,Card,Stripe,TXN-000192,413.93,Refunded
PMT000193,O000193,2024-05-21,Card,Stripe,TXN-000193,0.0,Pending
PMT000194,O000194,2024-04-14,Wallet,Adyen,TXN-000194,286.22,Paid
PMT000195,O000195,2024-02-08,BankTransfer,PayPal,TXN-000195,0.0,Pending
PMT000196,O000196,2024-05-09,PayPal,PayPal,TXN-000196,1222.99,Paid
PMT000197,O000197,2024-06-29,PayPal,Adyen,TXN-000197,972.95,Paid
PMT000198,O000198,2024-01-13,BankTransfer,Braintree,TXN-000198,875.27,Paid
PMT000199,O000199,2024-04-14,Wallet,Braintree,TXN-000199,25.54,Paid
PMT000200,O000200,2024-01-26,PayPal,Adyen,TXN-000200,70.71,Paid
PMT000201,O000201,2024-01-06,BankTransfer,Braintree,TXN-000201,209.05,Paid
PMT000202,O000202,2024-06-06,Wallet,Braintree,TXN-000202,123.13,Paid
PMT000203,O000203,2024-03-05,BankTransfer,Braintree,TXN-000203,437.75,Refunded
PMT000204,O000204,2024-04-13,Card,PayPal,TXN-000204,581.92,Paid
PMT000205,O000205,2024-05-12,Wallet,Braintree,TXN-000205,1000.19,Paid
PMT000206,O000206,2024-04-04,PayPal,Adyen,TXN-000206,1245.91,Paid
PMT000207,O000207,2024-01-12,PayPal,Braintree,TXN-000207,647.7,Paid
PMT000208,O000208,2024-05-01,Card,Braintree,TXN-000208,1057.77,Paid
PMT000209,O000209,2024-06-02,BankTransfer,Braintree,TXN-000209,165.81,Paid
PMT000210,O000210,2024-02-11,PayPal,Braintree,TXN-000210,77.81,Refunded
PMT000211,O000211,2024-02-10,Wallet,Braintree,TXN-000211,79.51,Paid
PMT000212,O000212,2024-02-15,Card,Stripe,TXN-000212,487.77,Paid
PMT000213,O000213,2024-06-02,BankTransfer,Adyen,TXN-000213,581.54,Paid
PMT000214,O000214,2024-06-16,Wallet,Adyen,TXN-000214,736.91,Paid
PMT000215,O000215,2024-03-04,Wallet,Braintree,TXN-000215,336.96,Paid
PMT000216,O000216,2024-07-01,PayPal,Adyen,TXN-000216,352.39,Paid
PMT000217,O000217,2024-06-08,PayPal,Braintree,TXN-000217,1120.04,Paid
PMT000218,O000218,2024-04-27,BankTransfer,Adyen,TXN-000218,368.3,Paid
PMT000219,O000219,2024-03-08,PayPal,PayPal,TXN-000219,431.8,Paid
PMT000220,O000220,2024-05-19,PayPal,PayPal,TXN-000220,453.83,Paid
PMT000221,O000221,2024-02-10,Wallet,Stripe,TXN-000221,0.0,Pending
PMT000222,O000222,2024-06-08,BankTransfer,Stripe,TXN-000222,206.94,Paid
PMT000223,O000223,2024-03-28,Wallet,Adyen,TXN-000223,401.22,Paid
PMT000224,O000224,2024-02-29,Card,PayPal,TXN-000224,574.58,Paid
PMT000225,O000225,2024-02-05,PayPal,PayPal,TXN-000225,256.16,Paid
PMT000226,O000226,2024-03-28,BankTransfer,PayPal,TXN-000226,385.73,Refunded
PMT000227,O000227,2024-05-18,PayPal,Stripe,TXN-000227,388.79,Paid
PMT000228,O000228,2024-05-01,Card,Stripe,TXN-000228,298.65,Paid
PMT000229,O000229,2024-01-02,BankTransfer,PayPal,TXN-000229,0.0,Pending
PMT000230,O000230,2024-06-02,PayPal,Stripe,TXN-000230,635.11,Refunded
PMT000231,O000231,2024-02-05,BankTransfer,Stripe,TXN-000231,27.24,Paid
PMT000232,O000232,2024-01-30,BankTransfer,Braintree,TXN-000232,190.42,Paid
PMT000233,O000233,2024-02-20,Card,Braintree,TXN-000233,1391.25,Paid
PMT000234,O000234,2024-02-29,BankTransfer,PayPal,TXN-000234,1439.58,Paid
PMT000235,O000235,2024-05-25,Card,Adyen,TXN-000235,470.8,Paid
PMT000236,O000236,2024-05-04,BankTransfer,PayPal,TXN-000236,764.67,Paid
PMT000237,O000237,2024-05-23,Wallet,Adyen,TXN-000237,459.11,Paid
PMT000238,O000238,2024-03-06,Card,Braintree,TXN-000238,117.72,Refunded
PMT000239,O000239,2024-05-10,PayPal,Stripe,TXN-000239,85.13,Paid
PMT000240,O000240,2024-02-12,PayPal,PayPal,TXN-000240,640.1,Paid
PMT000241,O000241,2024-01-18,BankTransfer,PayPal,TXN-000241,134.24,Paid
PMT000242,O000242,2024-06-05,Card,Adyen,TXN-000242,213.64,Paid
PMT000243,O000243,2024-06-17,PayPal,Stripe,TXN-000243,186.76,Paid
PMT000244,O000244,2024-05-16,Card,Adyen,TXN-000244,230.96,Paid
PMT000245,O000245,2024-03-25,Card,Stripe,TXN-000245,263.66,Paid
PMT000246,O000246,2024-06-12,BankTransfer,Braintree,TXN-000246,928.76,Paid
PMT000247,O000247,2024-03-15,PayPal,Braintree,TXN-000247,403.24,Paid
PMT000248,O000248,2024-03-11,Card,Stripe,TXN-000248,31.86,Paid
PMT000249,O000249,2024-06-04,Card,Stripe,TXN-000249,229.87,Paid
PMT000250,O000250,2024-05-15,Wallet,Braintree,TXN-000250,0.0,Pending
PMT000251,O000251,2024-02-21,Wallet,PayPal,TXN-000251,37.99,Paid
PMT000252,O000252,2024-01-07,Card,Braintree,TXN-000252,0.0,Pending
PMT000253,O000253,2024-06-11,Card,Braintree,TXN-000253,380.9,Paid
PMT000254,O000254,2024-02-27,Card,PayPal,TXN-000254,311.22,Paid
PMT000255,O000255,2024-05-16,Wallet,Braintree,TXN-000255,46.63,Paid
PMT000256,O000256,2024-02-22,Card,Stripe,TXN-000256,109.47,Paid
PMT000257,O000257,2024-04-29,Card,Stripe,TXN-000257,0.0,Pending
PMT000258,O000258,2024-04-18,BankTransfer,PayPal,TXN-000258,81.89,Paid
PMT000259,O000259,2024-04-05,Card,Adyen,TXN-000259,356.93,Paid
PMT000260,O000260,2024-03-04,BankTransfer,Adyen,TXN-000260,326.36,Paid
PMT000261,O000261,2024-03-28,Card,Stripe,TXN-000261,462.76,Paid
PMT000262,O000262,2024-02-24,BankTransfer,PayPal,TXN-000262,385.45,Refunded
PMT000263,O000263,2024-05-16,Card,PayPal,TXN-000263,458.09,Paid
PMT000264,O000264,2024-02-13,PayPal,Adyen,TXN-000264,891.0,Paid
PMT000265,O000265,2024-06-09,Card,Braintree,TXN-000265,372.81,Refunded
PMT000266,O000266,2024-02-01,PayPal,Adyen,TXN-000266,585.14,Paid
PMT000267,O000267,2024-05-23,Wallet,PayPal,TXN-000267,293.48,Paid
PMT000268,O000268,2024-06-23,BankTransfer,Stripe,TXN-000268,586.76,Paid
PMT000269,O000269,2024-05-31,Wallet,Braintree,TXN-000269,0.0,Pending
PMT000270,O000270,2024-01-15,Card,PayPal,TXN-000270,315.49,Paid
PMT000271,O000271,2024-04-15,PayPal,Braintree,TXN-000271,0.0,Pending
PMT000272,O000272,2024-02-05,Card,Adyen,TXN-000272,223.81,Paid
PMT000273,O000273,2024-05-15,Wallet,Stripe,TXN-000273,385.92,Paid
PMT000274,O000274,2024-02-13,BankTransfer,PayPal,TXN-000274,954.92,Paid
PMT000275,O000275,2024-02-06,PayPal,PayPal,TXN-000275,195.56,Paid
PMT000276,O000276,2024-05-09,PayPal,Stripe,TXN-000276,80.58,Paid
PMT000277,O000277,2024-05-07,BankTransfer,Adyen,TXN-000277,149.08,Paid
PMT000278,O000278,2024-06-24,PayPal,Stripe,TXN-000278,353.04,Paid
PMT000279,O000279,2024-04-26,Wallet,Braintree,TXN-000279,215.54,Paid
PMT000280,O000280,2024-06-02,BankTransfer,PayPal,TXN-000280,475.32,Paid
PMT000281,O000281,2024-01-23,Wallet,PayPal,TXN-000281,660.43,Paid
PMT000282,O000282,2024-05-17,PayPal,Adyen,TXN-000282,364.84,Paid
PMT000283,O000283,2024-04-11,PayPal,PayPal,TXN-000283,870.74,Paid
PMT000284,O000284,2024-04-12,BankTransfer,Adyen,TXN-000284,0.0,Pending
PMT000285,O000285,2024-03-29,Card,Braintree,TXN-000285,685.14,Paid
PMT000286,O000286,2024-06-05,Wallet,Adyen,TXN-000286,697.42,Paid
PMT000287,O000287,2024-01-10,Wallet,Stripe,TXN-000287,797.99,Paid
PMT000288,O000288,2024-06-09,Card,Braintree,TXN-000288,12.05,Refunded
PMT000289,O000289,2024-05-24,PayPal,Braintree,TXN-000289,273.12,Paid
PMT000290,O000290,2024-06-01,BankTransfer,PayPal,TXN-000290,143.59,Refunded
PMT000291,O000291,2024-02-25,Wallet,Braintree,TXN-000291,327.81,Paid
PMT000292,O000292,2024-06-27,PayPal,Stripe,TXN-000292,677.35,Paid
PMT000293,O000293,2024-02-06,BankTransfer,Braintree,TXN-000293,155.98,Paid
PMT000294,O000294,2024-02-13,Card,Braintree,TXN-000294,1788.49,Paid
PMT000295,O000295,2024-05-20,PayPal,Braintree,TXN-000295,441.67,Paid
PMT000296,O000296,2024-04-20,BankTransfer,PayPal,TXN-000296,331.13,Paid
PMT000297,O000297,2024-04-11,PayPal,Adyen,TXN-000297,1731.82,Paid
PMT000298,O000298,2024-06-01,PayPal,Adyen,TXN-000298,500.75,Paid
PMT000299,O000299,2024-01-16,Wallet,PayPal,TXN-000299,263.24,Paid
PMT000300,O000300,2024-03-03,Wallet,Stripe,TXN-000300,38.71,Paid
PMT000301,O000301,2024-03-29,BankTransfer,Stripe,TXN-000301,105.05,Refunded
PMT000302,O000302,2024-06-06,Card,Stripe,TXN-000302,347.27,Refunded
PMT000303,O000303,2024-02-01,Card,Adyen,TXN-000303,560.14,Paid
PMT000304,O000304,2024-05-24,BankTransfer,PayPal,TXN-000304,948.12,Paid
PMT000305,O000305,2024-06-19,Card,PayPal,TXN-000305,1753.86,Paid
PMT000306,O000306,2024-01-15,BankTransfer,Stripe,TXN-000306,134.44,Paid
PMT000307,O000307,2024-07-01,Wallet,PayPal,TXN-000307,523.63,Paid
PMT000308,O000308,2024-04-25,Card,Stripe,TXN-000308,376.48,Paid
PMT000309,O000309,2024-02-29,Card,PayPal,TXN-000309,26.82,Paid
PMT000310,O000310,2024-01-16,PayPal,Stripe,TXN-000310,603.91,Paid
PMT000311,O000311,2024-04-20,Wallet,PayPal,TXN-000311,181.95,Paid
PMT000312,O000312,2024-05-30,Wallet,Stripe,TXN-000312,1240.4,Paid
PMT000313,O000313,2024-05-22,BankTransfer,Braintree,TXN-000313,142.12,Paid
PMT000314,O000314,2024-04-29,PayPal,PayPal,TXN-000314,574.42,Paid
PMT000315,O000315,2024-04-26,PayPal,Stripe,TXN-000315,345.47,Paid
PMT000316,O000316,2024-04-04,PayPal,Adyen,TXN-000316,932.41,Paid
PMT000317,O000317,2024-04-23,PayPal,Adyen,TXN-000317,698.14,Paid
PMT000318,O000318,2024-06-15,Card,Braintree,TXN-000318,417.96,Refunded
PMT000319,O000319,2024-03-05,Wallet,Adyen,TXN-000319,992.29,Paid
PMT000320,O000320,2024-05-21,Wallet,PayPal,TXN-000320,276.66,Paid
PMT000321,O000321,2024-05-17,Wallet,Stripe,TXN-000321,85.12,Paid
PMT000322,O000322,2024-02-24,Wallet,Braintree,TXN-000322,801.55,Paid
PMT000323,O000323,2024-05-23,Wallet,Adyen,TXN-000323,92.56,Paid
PMT000324,O000324,2024-01-10,Card,Braintree,TXN-000324,433.03,Paid
PMT000325,O000325,2024-04-25,BankTransfer,Braintree,TXN-000325,99.72,Paid
PMT000326,O000326,2024-06-07,Wallet,PayPal,TXN-000326,1013.24,Paid
PMT000327,O000327,2024-01-20,PayPal,Braintree,TXN-000327,629.64,Paid
PMT000328,O000328,2024-04-05,BankTransfer,Adyen,TXN-000328,371.41,Paid
PMT000329,O000329,2024-05-23,Card,Braintree,TXN-000329,562.84,Paid
PMT000330,O000330,2024-02-03,Wallet,Adyen,TXN-000330,0.0,Pending
