class,site,corp_item_no,month_over_month_sales_growth,trending_rank,badge
ALM78OF9V5KPLDWEBLKQ2BW,1,498128,9790.6640,1902163,TWOP6BHIKRMTGJ9SN9U25DDYKXVMCXBHG
ZJZY4247646227W7YKX57L8Y2H3HV637G3X14ZMPK07,60,42111,4987.4920,5361517,P61TGEZO5ZX5CKSZ
C84IJRKMZKN7F51V0LBZO3QP1,60,521801,3568.8770,1061134,0ANLAVDW2HDQSC0UT3I6UVFHDOJ7K9PKRB3XKVPV74ID
EYKTOZ9N2DW3FKQANWRSOVEDIXV59PDWF1XEVYIFYFCT,170,173975,595.4053,2434407,QG4I0GF3FJIZ4AK18M5R9GZ
YT4EW3MT9L0,170,373731,1892.1408,2729329,Q5BDFL85R9DEKTGL6VXP6
ZTNL6QL8B8NRO4WRAIC07WY2ZQAI8UKN7WI6WQXUT5BF4Y92,1,859105,5652.9180,8989960,454X04DNT3J0FW81T2PFEIVVOD7OH42T7I81PBN223GIRB185KQXU11BTA
C6S981IFWR4UZU2U42KBXN2E2MJBI2M0IME,170,329988,2569.3296,2101079,84HR4S14JFHO1DI
IOLMRH9NCJCF2AL,20,679563,7599.3631,1931468,N05SJ92L5E5RVCRC70V6A4H2BNXFZCD065GTNX9UEWNIM5VLQX9Y8
OUGGI7V35G195IDBYCNZVK68NRPF4C511LXCTHVHVOR6FIHBR4,170,368188,5563.4095,4856835,R05JBFEM94O
70QLF30VQ2XSPU,170,69157,2114.0751,7224598,O2KU8FRLO
QEXYPXWJ3LKESW0B7ITVIS7,170,73103,5676.1590,4880266,7EP0UJUI2H6LRG2PB99OCCC658WX2B8S87JQZO27OET53V78
CANMOX7EEN1LERG27TS2JX51TSQRMITTV8EJ,170,828425,5638.8801,460054,2ZF08VEA2IJ
116JPVS5PRNZ8L5DCU7C,170,862850,7649.6044,2032379,1FFAQT2TK81BI9YST81NHBIROI2EEBQ
SWTAMGW41NNORGZV06YKIUEXDJTJV7,60,919005,1846.2306,7118105,C0R8SQ21VJIX
