return_id,order_id,order_item_id,return_date,return_reason,return_status,refund_amount
RTN000048,O000462,OI001169,2024-02-21,CancelledOrder,Approved,50.88
RTN000049,O000463,OI001171,2024-03-25,LateDelivery,Approved,227.91
RTN000050,O000483,OI001223,2024-06-24,LateDelivery,Approved,261.8
RTN000051,O000520,OI001316,2024-02-17,LateDelivery,Approved,63.4
RTN000052,O000528,OI001335,2024-03-19,CancelledOrder,Approved,144.2
RTN000053,O000565,OI001436,2024-05-18,LateDelivery,Approved,913.18
RTN000054,O000581,OI001479,2024-04-25,CancelledOrder,Approved,113.11
RTN000055,O000594,OI001509,2024-04-17,SizeIssue,Approved,202.75
RTN000056,O000604,OI001533,2024-02-21,ChangedMind,Approved,146.41
RTN000057,O000610,OI001548,2024-02-21,Defective,Approved,140.26
RTN000058,O000615,OI001558,2024-05-16,ChangedMind,Approved,159.15
RTN000059,O000615,OI001559,2024-05-09,LateDelivery,Approved,88.01
RTN000060,O000656,OI001659,2024-05-05,LateDelivery,Approved,150.94
RTN000061,O000687,OI001736,2024-04-04,ChangedMind,Approved,216.89
RTN000062,O000689,OI001740,2024-04-15,CancelledOrder,Approved,137.85
RTN000063,O000698,OI001766,2024-04-21,CancelledOrder,Approved,267.97
RTN000064,O000703,OI001774,2024-01-17,SizeIssue,Approved,120.31
RTN000065,O000764,OI001918,2024-01-20,SizeIssue,Approved,219.79
RTN000066,O000777,OI001949,2024-04-28,CancelledOrder,Approved,132.02
RTN000067,O000782,OI001959,2024-03-06,CancelledOrder,Approved,325.43
RTN000068,O000787,OI001970,2024-02-06,CancelledOrder,Approved,38.69
RTN000069,O000798,OI002003,2024-02-11,LateDelivery,Approved,109.99
RTN000070,O000809,OI002023,2024-06-17,CancelledOrder,Approved,74.16
RTN000071,O000809,OI002024,2024-06-12,CancelledOrder,Approved,130.07
RTN000072,O000814,OI002041,2024-05-22,CancelledOrder,Approved,230.6
RTN000073,O000823,OI002067,2024-04-09,Defective,Approved,12.16
RTN000074,O000825,OI002075,2024-02-19,CancelledOrder,Approved,123.93
RTN000075,O000829,OI002086,2024-06-06,CancelledOrder,Approved,17.07
RTN000076,O000850,OI002130,2024-02-11,ChangedMind,Approved,232.27
RTN000077,O000862,OI002166,2024-04-12,CancelledOrder,Approved,30.13
RTN000078,O000867,OI002179,2024-02-24,ChangedMind,Approved,14.29
RTN000079,O000883,OI002217,2024-02-14,CancelledOrder,Approved,42.71
RTN000080,O000885,OI002221,2024-04-23,CancelledOrder,Approved,37.57
RTN000081,O000887,OI002225,2024-07-13,Defective,Approved,77.82
RTN000082,O000887,OI002226,2024-07-12,Defective,Approved,163.15
RTN000083,O000892,OI002237,2024-05-07,LateDelivery,Approved,608.33
RTN000084,O000896,OI002249,2024-06-29,ChangedMind,Approved,178.19
RTN000085,O000898,OI002252,2024-07-06,CancelledOrder,Approved,224.13
RTN000086,O000919,OI002308,2024-07-01,Defective,Approved,449.53
RTN000087,O000919,OI002309,2024-07-01,SizeIssue,Approved,386.56
RTN000088,O000923,OI002316,2024-06-06,CancelledOrder,Approved,253.72
RTN000089,O000923,OI002318,2024-06-06,CancelledOrder,Approved,324.51
RTN000090,O000951,OI002391,2024-01-13,LateDelivery,Approved,88.16
RTN000091,O000952,OI002393,2024-04-08,CancelledOrder,Approved,223.11
RTN000092,O000952,OI002395,2024-04-20,CancelledOrder,Approved,67.92
RTN000093,O000957,OI002406,2024-05-08,Defective,Approved,184.27
RTN000094,O000957,OI002407,2024-05-11,LateDelivery,Approved,154.48
RTN000095,O000961,OI002415,2024-03-11,ChangedMind,Approved,56.3
RTN000096,O000961,OI002417,2024-03-12,Defective,Approved,102.28
RTN000097,O000963,OI002423,2024-02-01,LateDelivery,Approved,120.85
RTN000098,O000983,OI002480,2024-05-25,CancelledOrder,Approved,241.27
RTN000099,O000986,OI002490,2024-06-30,CancelledOrder,Approved,22.58
RTN000100,O000993,OI002503,2024-02-13,LateDelivery,Approved,279.0
RTN000101,O000997,OI002515,2024-01-15,CancelledOrder,Approved,41.31
